fid1	iid1	fid2	iid2	total_ibd_cm	num_segments	max_segment_cm	proportion_shared	predicted_relationship
HG00551	HG00551	HG00555	HG00555	10.676	2	5.666	0.19410909090909093	second-degree
HG00551	HG00551	HG00732	HG00732	4.527	1	4.527	0.08230909090909092	unrelated
HG00551	HG00551	HG00733	HG00733	4.527	1	4.527	0.08230909090909092	unrelated
HG00551	HG00551	HG01052	HG01052	28.006	5	8.182	0.5092	full-sibling
HG00551	HG00551	HG01053	HG01053	21.253999999999998	2	16.244	0.3864363636363636	full-sibling
HG00551	HG00551	HG01079	HG01079	4.112	1	4.112	0.07476363636363637	unrelated
HG00551	HG00551	HG01081	HG01081	4.215	1	4.215	0.07663636363636363	unrelated
HG00551	HG00551	HG01101	HG01101	10.405999999999999	2	5.396	0.18919999999999998	second-degree
HG00551	HG00551	HG01103	HG01103	10.405999999999999	2	5.396	0.18919999999999998	second-degree
HG00551	HG00551	HG01205	HG01205	6.962	2	3.564	0.12658181818181818	third-degree
HG00552	HG00552	HG00554	HG00554	5.666	1	5.666	0.10301818181818183	third-degree
HG00552	HG00552	HG00555	HG00555	5.666	1	5.666	0.10301818181818183	third-degree
HG00552	HG00552	HG00732	HG00732	4.527	1	4.527	0.08230909090909092	unrelated
HG00552	HG00552	HG00733	HG00733	4.527	1	4.527	0.08230909090909092	unrelated
HG00552	HG00552	HG01052	HG01052	19.656000000000002	3	8.182	0.35738181818181824	second-degree
HG00552	HG00552	HG01053	HG01053	16.244	1	16.244	0.2953454545454545	second-degree
HG00552	HG00552	HG01075	HG01075	50.876999999999995	7	16.701	0.9250363636363635	full-sibling
HG00552	HG00552	HG01079	HG01079	4.112	1	4.112	0.07476363636363637	unrelated
HG00552	HG00552	HG01081	HG01081	4.215	1	4.215	0.07663636363636363	unrelated
HG00552	HG00552	HG01101	HG01101	5.396	1	5.396	0.09810909090909091	third-degree
HG00552	HG00552	HG01103	HG01103	5.396	1	5.396	0.09810909090909091	third-degree
HG00553	HG00553	HG00555	HG00555	32.183	7	6.415	0.5851454545454545	full-sibling
HG00553	HG00553	HG00731	HG00731	4.93	1	4.93	0.08963636363636363	unrelated
HG00553	HG00553	HG00733	HG00733	6.415	1	6.415	0.11663636363636364	third-degree
HG00553	HG00553	HG00736	HG00736	4.208	1	4.208	0.07650909090909092	unrelated
HG00553	HG00553	HG00738	HG00738	4.208	1	4.208	0.07650909090909092	unrelated
HG00553	HG00553	HG01054	HG01054	6.977	2	3.704	0.12685454545454547	third-degree
HG00553	HG00553	HG01056	HG01056	3.273	1	3.273	0.059509090909090914	unrelated
HG00553	HG00553	HG01095	HG01095	10.228	2	5.114	0.18596363636363636	second-degree
HG00553	HG00553	HG01096	HG01096	5.114	1	5.114	0.09298181818181818	third-degree
HG00553	HG00553	HG01167	HG01167	3.659	1	3.659	0.06652727272727273	unrelated
HG00553	HG00553	HG01173	HG01173	5.114	1	5.114	0.09298181818181818	third-degree
HG00553	HG00553	HG01175	HG01175	5.114	1	5.114	0.09298181818181818	third-degree
HG00553	HG00553	HG01183	HG01183	3.729	1	3.729	0.0678	unrelated
HG00553	HG00553	HG01184	HG01184	3.729	1	3.729	0.0678	unrelated
HG00553	HG00553	HG01190	HG01190	3.659	1	3.659	0.06652727272727273	unrelated
HG00553	HG00553	HG01191	HG01191	3.659	1	3.659	0.06652727272727273	unrelated
HG00553	HG00553	HG01249	HG01249	5.351	1	5.351	0.0972909090909091	third-degree
HG00554	HG00554	HG00555	HG00555	40.378	5	13.18	0.7341454545454545	full-sibling
HG00554	HG00554	HG00637	HG00637	3.43	1	3.43	0.062363636363636364	unrelated
HG00554	HG00554	HG00638	HG00638	5.27	1	5.27	0.09581818181818182	third-degree
HG00554	HG00554	HG00639	HG00639	14.68	3	5.947	0.26690909090909093	second-degree
HG00554	HG00554	HG01052	HG01052	6.223	1	6.223	0.11314545454545455	third-degree
HG00554	HG00554	HG01053	HG01053	6.223	1	6.223	0.11314545454545455	third-degree
HG00554	HG00554	HG01101	HG01101	7.179	1	7.179	0.13052727272727274	third-degree
HG00554	HG00554	HG01103	HG01103	7.179	1	7.179	0.13052727272727274	third-degree
HG00554	HG00554	HG01247	HG01247	9.765	2	5.447	0.17754545454545456	third-degree
HG00555	HG00555	HG00637	HG00637	3.43	1	3.43	0.062363636363636364	unrelated
HG00555	HG00555	HG00638	HG00638	6.846	1	6.846	0.12447272727272728	third-degree
HG00555	HG00555	HG00639	HG00639	17.23	2	11.283	0.31327272727272726	second-degree
HG00555	HG00555	HG00731	HG00731	6.135	2	3.083	0.11154545454545454	third-degree
HG00555	HG00555	HG00733	HG00733	6.529	1	6.529	0.1187090909090909	third-degree
HG00555	HG00555	HG01052	HG01052	6.223	1	6.223	0.11314545454545455	third-degree
HG00555	HG00555	HG01053	HG01053	6.223	1	6.223	0.11314545454545455	third-degree
HG00555	HG00555	HG01101	HG01101	7.672	1	7.672	0.13949090909090908	third-degree
HG00555	HG00555	HG01103	HG01103	7.856	1	7.856	0.14283636363636362	third-degree
HG00555	HG00555	HG01167	HG01167	3.659	1	3.659	0.06652727272727273	unrelated
HG00555	HG00555	HG01190	HG01190	3.659	1	3.659	0.06652727272727273	unrelated
HG00555	HG00555	HG01191	HG01191	3.659	1	3.659	0.06652727272727273	unrelated
HG00555	HG00555	HG01247	HG01247	11.535	2	5.895	0.20972727272727273	second-degree
HG00556	HG00556	HG00558	HG00558	25.853	5	6.827	0.4700545454545455	full-sibling
HG00557	HG00557	HG00558	HG00558	41.919	9	9.154	0.7621636363636363	full-sibling
HG00557	HG00557	HG00627	HG00627	3.949	1	3.949	0.0718	unrelated
HG00557	HG00557	HG01944	HG01944	3.162	1	3.162	0.05749090909090909	unrelated
HG00558	HG00558	HG00627	HG00627	4.813	1	4.813	0.0875090909090909	unrelated
HG00559	HG00559	HG00561	HG00561	38.763	7	10.052	0.7047818181818182	full-sibling
HG00560	HG00560	HG00561	HG00561	38.113	7	9.769	0.6929636363636363	full-sibling
HG00565	HG00565	HG00567	HG00567	39.412	8	7.439	0.7165818181818182	full-sibling
HG00566	HG00566	HG00567	HG00567	39.227	7	10.644	0.7132181818181818	full-sibling
HG00577	HG00577	HG00579	HG00579	56.378	9	12.842	1.0250545454545454	full-sibling
HG00577	HG00577	HG00584	HG00584	72.187	13	7.696	1.3124909090909092	full-sibling
HG00577	HG00577	HG00585	HG00585	28.873	4	10.548	0.5249636363636364	full-sibling
HG00577	HG00577	HG00595	HG00595	17.901	3	8.334	0.32547272727272725	second-degree
HG00577	HG00577	HG00597	HG00597	21.79	3	10.602	0.3961818181818182	full-sibling
